"X","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Anxiety"
6716,1,1,2,2,1,0,0,"Somewhat difficult",5,6,3,5,6,"League of Legends","PC",25,"Fun",14,0,1,0,0,2,0,2,0,2,0,1,2,1,0,2,1,2,2,"Male",18,"Student","None","Germany","Germany","Multiplayer",7,25,16,0
6717,0,0,0,0,0,2,0,"Somewhat difficult",2,6,6,2,1,"League of Legends","PC",70,"Competition",12,0,3,2,3,2,0,0,3,3,0,1,1,1,2,3,0,0,1,"Male",18,"Student","None","Netherlands","Netherlands","Multiplayer",2,17,24,0
6718,2,2,2,1,1,2,1,"Somewhat difficult",2,5,4,4,2,"League of Legends","PC",8,"Fun",7,0,2,3,1,2,1,1,2,1,1,0,1,0,1,2,0,1,3,"Male",22,"Student","High School","Canada","Canada","Multiplayer",11,17,19,1
6719,0,0,0,0,0,1,0,"Not difficult at all",4,6,7,5,4,"League of Legends","PC",10,"Fun",7,1,1,0,1,1,1,2,0,0,0,2,0,0,1,0,0,2,4,"Male",28,"Student","Bachelors","Germany","Germany","Multiplayer",1,26,12,0
6721,1,0,1,0,0,0,0,"Not difficult at all",6,6,6,5,3,"League of Legends","PC",30,"Competition",15,1,0,0,3,1,2,4,0,1,1,4,0,0,0,1,0,0,3,"Male",22,"Student","Bachelors","USA","USA","Multiplayer",2,26,18,0
6722,1,1,1,2,0,1,2,"Not difficult at all",2,6,3,1,1,"Other","PC",8,"Fun",0,0,2,0,2,0,1,0,0,4,0,4,0,0,2,2,0,0,1,"Male",18,"Student","None","USA","USA","Multiplayer",8,13,17,0
6724,0,0,0,1,2,0,1,"Not difficult at all",3,3,2,2,3,"League of Legends","PC",7,"Fun",40,2,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,3,"Male",18,"Student","High School","Brazil","Brazil","Multiplayer",4,13,9,0
6725,1,0,1,0,0,2,0,"Somewhat difficult",6,6,5,7,7,"League of Legends","PC",5,"Competition",15,1,0,0,1,3,1,0,0,1,0,1,2,0,0,0,0,0,2,"Male",26,"Student","Masters","Canada","Canada","Multiplayer",4,31,10,0
6726,3,2,3,3,0,3,3,"Very difficult",4,5,4,6,5,"Other","PC",30,"Competition",15,2,2,1,2,3,2,2,1,3,1,3,3,1,3,3,0,0,3,"Male",22,"Student","Bachelors","USA","USA","Multiplayer",17,24,32,1
6727,0,0,1,1,0,0,1,"Not difficult at all",6,7,5,7,6,"League of Legends","PC",15,"Competition",20,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,"Male",23,"Employed","Bachelors","USA","USA","Multiplayer",3,31,6,0
6728,1,1,1,0,0,1,0,"Somewhat difficult",6,6,5,5,5,"League of Legends","PC",15,"Competition",10,1,1,1,1,2,1,2,1,1,0,0,0,0,1,2,0,1,1,"Male",21,"Student","High School","USA","USA","Multiplayer",4,27,15,0
6729,1,0,2,1,0,0,1,"Somewhat difficult",5,4,6,5,4,"League of Legends","PC",5,"Competition",30,0,3,1,2,2,2,0,1,3,1,1,2,0,1,2,1,0,1,"Male",20,"Student","Bachelors","Spain","Spain","Multiplayer",5,24,22,0
6730,1,1,1,1,2,1,1,"Somewhat difficult",3,2,6,5,3,"League of Legends","PC",20,"Competition",12,0,2,1,1,2,2,4,0,1,0,3,0,0,1,0,0,3,1,"Male",22,"Student","High School","Netherlands","Belgium","Multiplayer",8,19,20,0
6732,0,0,1,1,0,0,0,"Somewhat difficult",5,5,5,3,6,"World of Warcraft","PC",45,"Competition",30,0,1,3,4,1,3,1,4,4,4,4,1,1,4,2,0,1,2,"Male",18,"Student","High School","Serbia","Serbia","Multiplayer",2,24,38,0
6733,0,0,1,1,0,3,1,"Somewhat difficult",5,5,4,3,1,"League of Legends","PC",25,"Fun",10,0,1,2,2,2,1,0,1,1,1,1,0,0,2,3,0,0,3,"Male",18,"Student","None","Poland","UK","Multiplayer",6,18,17,0
6734,0,0,0,0,0,0,0,"Not difficult at all",7,7,7,5,5,"League of Legends","PC",2,"Fun",2,0,1,0,1,2,1,0,1,1,1,1,0,0,1,0,0,0,1,"Male",18,"Student","None","New Zealand","New Zealand ","Multiplayer",0,31,10,0
6735,1,1,1,1,0,1,0,"Not difficult at all",3,3,5,4,5,"League of Legends","PC",15,"Competition",3,1,2,2,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,"Male",21,"Student","None","Sweden","Sweden","Multiplayer",5,20,23,0
6736,0,0,0,0,0,0,0,"Not difficult at all",5,7,6,5,2,"League of Legends","PC",6,"Fun",8,0,3,0,1,1,0,1,0,1,0,4,0,0,0,1,0,3,2,"Male",20,"Student","High School","Brazil","Brazil","Multiplayer",0,25,15,0
6737,1,1,1,1,0,1,0,"Somewhat difficult",1,1,1,1,1,"League of Legends","PC",21,"Competition",21,1,1,1,2,1,1,1,2,1,2,1,2,0,1,1,0,0,3,"Male",18,"Student","High School","Greece","Greece","Multiplayer",5,5,18,0
6740,1,1,2,0,0,2,1,"Not difficult at all",3,5,5,5,5,"League of Legends","PC",20,"Competition",15,1,2,0,1,1,1,0,0,1,0,1,2,0,2,3,1,0,1,"Male",18,"Student","Bachelors","Uruguay","Uruguay","Multiplayer",7,23,16,0
6741,1,0,0,0,0,1,0,"Not difficult at all",4,6,7,6,7,"League of Legends","PC",4,"Competition",2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,"Male",18,"Student","High School","Croatia","Croatia","Multiplayer",2,30,4,0
6742,0,1,1,2,1,1,0,"Somewhat difficult",6,6,6,7,5,"League of Legends","PC",15,"Fun",10,1,0,0,1,2,0,1,0,1,0,1,1,0,1,0,0,1,4,"Male",24,"Student","Bachelors","Denmark","Denmark","Multiplayer",6,30,10,0
6744,1,0,1,3,0,0,1,"Somewhat difficult",1,2,1,1,1,"League of Legends","PC",28,"Competition",10,0,2,3,3,0,3,2,3,3,2,4,0,0,2,1,0,2,1,"Male",20,"Unemployed","High School","UK","UK","Multiplayer",6,6,30,0
6745,1,1,1,0,0,1,0,"Not difficult at all",3,5,6,5,2,"League of Legends","PC",15,"Competition",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Male",22,"Student","Bachelors","Sweden","Sweden","Multiplayer",4,21,0,0
6746,0,0,0,0,0,0,0,"Not difficult at all",5,3,5,6,5,"League of Legends","PC",20,"Competition",10,1,1,0,1,0,1,2,0,0,0,1,0,0,0,2,0,0,1,"Male",22,"Employed","Bachelors","Ireland","Ireland","Multiplayer",0,24,9,0
6747,0,0,0,1,2,2,0,"Somewhat difficult",3,3,2,2,1,"League of Legends","PC",20,"Fun",10,0,1,3,2,1,1,0,3,2,1,4,0,1,2,2,0,1,1,"Female",20,"Employed","High School","USA","USA","Multiplayer",5,11,24,0
6748,0,1,1,1,0,0,0,"Somewhat difficult",2,2,2,2,2,"League of Legends","PC",40,"Fun",15,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,"Male",20,"Unemployed","High School","USA","USA","Multiplayer",3,10,12,0
6749,1,3,3,1,2,2,2,"Somewhat difficult",3,5,4,3,2,"League of Legends","PC",20,"Competition",3,2,2,3,3,3,3,3,3,3,3,4,3,2,3,3,2,3,2,"Male",20,"Student","High School","Singapore","Singapore","Singleplayer",14,17,48,1
6751,1,1,2,1,0,0,2,"Not difficult at all",3,3,5,2,4,"League of Legends","PC",3,"Fun",0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,2,"Male",19,"Student","High School","Canada","Canada","Multiplayer",7,17,6,0
6752,2,2,2,1,0,0,0,"Somewhat difficult",2,2,2,2,5,"League of Legends","PC",20,"Competition",4,0,1,1,1,0,1,0,0,1,0,1,0,0,2,0,0,0,1,"Male",18,"Student","High School","Netherlands","Netherlands","Multiplayer",7,13,8,0
6753,2,2,2,1,0,1,2,"Somewhat difficult",2,5,4,5,5,"Diablo 3","PC",70,"Competition",12,1,2,2,1,2,2,3,1,4,1,4,2,0,2,4,4,2,3,"Male",22,"Unemployed","Bachelors","Finland","Finland","Multiplayer",10,21,37,1
6755,1,0,0,0,0,1,1,"Not difficult at all",6,7,5,3,2,"League of Legends","PC",40,"Competition",60,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,"Male",21,"Student","Bachelors","USA","USA","Multiplayer",3,23,5,0
6756,1,0,0,0,0,3,3,"Somewhat difficult",1,6,1,1,1,"League of Legends","PC",10,"Competition",10,0,0,2,3,2,3,0,4,4,2,3,0,0,0,1,0,0,4,"Male",23,"Student","Masters","USA","USA","Multiplayer",7,10,24,0
6757,2,0,2,1,1,1,0,"Somewhat difficult",6,7,6,6,7,"League of Legends","PC",6,"Competition",8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,"Male",25,"Employed","Bachelors","USA","USA","Multiplayer",7,32,2,0
6758,1,3,2,1,0,1,0,"Not difficult at all",4,2,4,3,6,"League of Legends","PC",35,"Competition",2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,3,"Male",18,"Student","None","Croatia","Croatia","Multiplayer",8,19,4,0
6759,0,0,1,0,0,1,1,"Not difficult at all",5,6,6,5,5,"League of Legends","PC",25,"Competition",4,3,2,1,1,3,3,0,0,0,0,0,1,0,0,0,0,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",3,27,14,0
6760,1,0,1,0,0,2,0,"Not difficult at all",2,2,4,3,2,"League of Legends","PC",25,"Competition",25,1,0,0,0,2,3,1,0,0,0,4,3,1,0,3,0,3,2,"Male",27,"Student","High School","Romania","Romania","Multiplayer",4,13,21,0
6761,1,1,0,0,0,0,0,"Somewhat difficult",5,3,6,6,4,"League of Legends","PC",50,"Competition",6,1,2,1,1,0,1,2,3,3,1,1,1,1,2,3,0,1,2,"Male",18,"Student","High School","USA","USA","Multiplayer",2,24,24,0
6762,2,2,3,2,0,2,0,"Very difficult",2,3,3,3,1,"League of Legends","PC",25,"Competition",4,0,0,0,3,0,2,1,0,0,0,1,0,0,2,2,0,0,3,"Male",18,"Student","High School","Estonia","Estonia","Multiplayer",11,12,11,1
6763,0,0,0,2,1,3,0,"Not difficult at all",5,6,6,5,4,"League of Legends","PC",30,"Competition",2,2,1,0,1,1,3,2,0,2,0,0,3,0,2,1,1,0,3,"Male",18,"Student","High School","UK","UK","Multiplayer",6,26,19,0
6765,1,1,2,1,0,3,2,"Somewhat difficult",3,4,2,3,1,"Counter Strike","PC",30,"Fun",5,1,1,1,1,0,1,0,1,2,0,1,0,0,0,0,0,0,3,"Male",19,"Employed","High School","Norway","Norway","Multiplayer",10,13,9,1
6766,0,0,0,0,0,2,0,"Not difficult at all",2,2,1,5,2,"League of Legends","PC",25,"Competition",25,1,1,0,2,0,1,0,0,2,0,0,0,0,1,2,0,0,3,"Male",21,"Student","High School","USA","USA","Singleplayer",2,12,10,0
6767,0,0,0,0,0,1,0,"Not difficult at all",2,4,3,2,2,"League of Legends","PC",16,"Fun",6,1,2,0,0,1,1,2,2,0,0,0,0,0,0,1,0,2,1,"Male",28,"Student","High School","Sweden","Sweden","Multiplayer",1,13,12,0
6768,1,1,2,1,0,0,1,"Somewhat difficult",5,3,6,5,2,"League of Legends","PC",15,"Competition",30,1,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,1,2,"Male",23,"Student","High School","Germany","Austria","Multiplayer",6,21,8,0
6769,3,3,3,3,3,3,2,"Extremely difficult",1,1,1,2,2,"Counter Strike","PC",7,"Competition",40,0,0,3,3,3,4,1,2,0,2,2,3,0,4,3,0,1,4,"Male",19,"Unemployed","High School","Germany","Germany","Multiplayer",20,7,31,1
6770,1,1,1,2,1,2,2,"Somewhat difficult",1,4,1,1,3,"League of Legends","PC",8,"Fun",5,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,3,"Male",25,"Student","High School","USA","USA","Multiplayer",10,10,10,1
6771,1,1,1,1,2,2,2,"Very difficult",2,2,2,3,2,"League of Legends","PC",56,"Competition",3,3,3,3,3,4,3,2,4,4,2,3,4,2,4,4,2,3,1,"Male",27,"Unemployed","High School","Netherlands","Netherlands","Multiplayer",10,11,53,1
6772,0,0,0,0,0,1,0,"Not difficult at all",6,7,6,5,4,"League of Legends","PC",40,"Competition",10,0,0,1,1,2,4,1,1,1,1,2,0,0,1,1,0,0,2,"Male",18,"Student","None","USA","USA","Multiplayer",1,28,16,0
6773,0,1,1,0,0,1,1,"Not difficult at all",5,6,4,4,3,"League of Legends","PC",8,"Fun",4,1,2,0,2,1,2,2,0,0,1,3,2,1,1,0,1,2,3,"Male",19,"Unemployed","High School","Germany","Germany","Multiplayer",4,22,21,0
6775,1,0,0,0,1,0,1,"Not difficult at all",6,6,7,6,7,"League of Legends","PC",10,"Fun",1,1,2,2,2,2,2,2,1,0,1,1,1,2,2,3,0,3,1,"Male",18,"Student","High School","USA","USA","Multiplayer",3,32,27,0
6776,0,0,0,0,0,1,0,"Somewhat difficult",5,5,4,3,3,"League of Legends","PC",20,"Fun",15,0,1,0,1,1,1,0,0,1,0,4,0,0,1,1,0,0,1,"Male",18,"Student","High School","UK","UK","Multiplayer",1,20,11,0
6777,2,2,0,0,0,2,0,"Somewhat difficult",3,5,3,1,1,"League of Legends","PC",10,"Fun",15,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,"Male",19,"Student","High School","USA","USA","Multiplayer",6,13,7,0
6780,1,0,0,0,0,1,0,"Not difficult at all",4,4,5,4,4,"League of Legends","PC",30,"Competition",15,1,1,0,0,1,0,0,0,2,0,4,2,0,2,2,1,1,1,"Male",19,"Student","High School","Poland","USA","Multiplayer",2,21,17,0
6781,2,2,2,3,3,3,1,"Somewhat difficult",4,4,4,4,3,"League of Legends","PC",20,"Competition",5,2,4,3,3,4,3,4,3,4,4,2,4,3,4,4,3,4,1,"Female",21,"Student","High School","China","USA","Multiplayer",16,19,58,1
6782,2,1,1,1,0,1,0,"Somewhat difficult",2,3,3,6,5,"League of Legends","PC",14,"Fun",5,2,2,1,3,2,2,2,2,3,1,2,2,0,2,1,1,2,1,"Male",23,"Employed","Bachelors","USA","USA","Multiplayer",6,19,30,0
6783,0,1,3,1,0,1,0,"Somewhat difficult",2,4,4,3,1,"Heroes of the Storm","PC",7,"Fun",15,1,1,1,1,2,1,1,1,1,1,0,2,0,0,3,1,1,1,"Male",23,"Unemployed","Bachelors","USA","USA","Multiplayer",6,14,18,0
6784,0,0,1,0,0,0,0,"Not difficult at all",5,6,6,4,2,"League of Legends","PC",20,"Competition",4,2,1,3,3,0,1,1,2,4,1,4,0,0,2,0,2,1,1,"Male",23,"Student","High School","Slovakia","Czech Republic","Singleplayer",1,23,27,0
6785,1,0,0,0,0,1,0,"Somewhat difficult",2,4,6,2,3,"League of Legends","PC",15,"Fun",20,1,3,3,2,2,1,2,3,1,1,3,2,3,2,1,1,1,1,"Male",23,"Unemployed","High School","Sweden","Sweden","Multiplayer",2,17,32,0
6786,1,1,2,1,0,0,0,"Somewhat difficult",3,6,4,4,3,"League of Legends","PC",25,"Competition",15,1,0,1,2,0,1,0,0,2,0,3,1,1,1,2,2,3,1,"Male",23,"Student","High School","Hungary","Hungary","Multiplayer",5,20,20,0
6788,0,0,1,0,1,1,0,"Not difficult at all",6,7,6,4,3,"League of Legends","PC",10,"Competition",6,0,1,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,1,"Male",20,"Student","High School","USA","USA","Multiplayer",3,26,8,0
6789,1,1,1,1,0,1,1,"Not difficult at all",2,5,6,7,5,"Other","PC",30,"Competition",6,0,2,0,3,4,4,4,0,0,3,3,4,4,4,4,0,4,3,"Male",20,"Student","High School","France","France","Singleplayer",6,25,43,0
6790,1,0,0,1,0,0,0,"Somewhat difficult",5,5,6,4,2,"League of Legends","PC",36,"Competition",30,1,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",2,22,8,0
6791,1,0,0,1,0,0,0,"Not difficult at all",6,6,7,7,6,"Starcraft 2","PC",20,"Competition",12,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,"Male",20,"Employed","High School","Sweden","Sweden","Multiplayer",2,32,7,0
6792,1,1,1,0,2,3,1,"Very difficult",1,2,2,1,1,"League of Legends","PC",15,"Competition",5,1,3,1,3,4,3,3,1,3,2,3,4,0,4,4,1,3,4,"Male",18,"Student","None","USA","USA","Multiplayer",9,7,43,0
6793,2,1,0,0,0,0,0,"Somewhat difficult",5,6,5,5,5,"League of Legends","PC",10,"Competition",10,2,1,2,2,3,2,0,3,1,2,1,1,0,1,1,1,0,1,"Male",18,"Student","High School","USA","USA","Multiplayer",3,26,23,0
6795,0,0,1,0,0,0,0,"Not difficult at all",2,6,6,2,3,"League of Legends","PC",21,"Competition",9,1,0,1,2,0,0,0,2,1,1,0,0,0,3,0,0,0,1,"Male",20,"Student","High School","Brazil","Brazil","Multiplayer",1,19,11,0
6796,0,0,0,0,0,0,0,"Not difficult at all",6,7,7,7,6,"League of Legends","PC",12,"Competition",6,2,0,0,2,0,1,0,2,1,0,1,0,0,1,1,3,0,2,"Male",33,"Employed","Bachelors","USA","USA","Multiplayer",0,33,14,0
6797,1,1,1,0,0,0,0,"Very difficult",5,6,5,5,6,"World of Warcraft","PC",42,"Competition",15,2,0,1,2,1,2,1,1,2,0,1,0,0,1,0,0,0,1,"Male",21,"Student","High School","Denmark","Denmark","Multiplayer",3,27,14,0
6798,1,0,0,0,1,2,0,"Somewhat difficult",5,6,5,3,2,"Other","PC",35,"Fun",20,1,3,0,2,3,3,3,0,2,1,4,2,2,1,3,0,1,1,"Male",19,"Student","Bachelors","France","France","Multiplayer",4,21,31,0
6800,1,1,2,0,0,3,1,"Very difficult",2,2,2,5,1,"League of Legends","PC",42,"Competition",15,0,2,0,2,0,1,0,1,3,1,0,0,0,1,0,0,0,1,"Male",18,"Student","High School","Chile","Chile","Multiplayer",8,12,11,0
6802,3,3,3,2,2,0,1,"Very difficult",1,1,1,1,1,"League of Legends","PC",30,"Fun",15,1,0,3,3,3,2,3,4,0,3,3,4,0,1,4,3,3,1,"Male",22,"Student","High School","India","Canada","Multiplayer",14,5,40,1
6804,1,1,1,0,0,1,0,"Somewhat difficult",5,6,5,5,5,"League of Legends","PC",20,"Competition",20,0,1,2,3,4,3,2,3,2,3,3,3,2,3,3,1,2,2,"Male",33,"Employed","Bachelors","UK","UK","Multiplayer",4,26,40,0
6805,1,0,0,0,2,0,0,"Somewhat difficult",6,7,6,6,6,"League of Legends","PC",10,"Fun",2,1,1,2,1,3,2,2,2,1,0,1,1,0,1,0,0,0,2,"Male",24,"Student","PhD","USA","USA","Multiplayer",3,31,18,0
6806,0,0,0,0,0,0,0,"Not difficult at all",4,5,4,4,7,"League of Legends","PC",3,"Fun",0,0,2,2,3,1,1,3,4,4,2,4,1,1,2,3,2,3,1,"Male",18,"Student","Bachelors","Canada","Canada","Multiplayer",0,24,38,0
6807,1,0,2,0,0,1,1,"Somewhat difficult",5,6,6,6,2,"League of Legends","PC",20,"Fun",5,0,3,2,1,4,3,2,3,0,1,4,1,3,1,1,2,1,2,"Female",19,"Student","High School","Vietnam","USA","Multiplayer",5,25,32,0
6808,0,0,0,0,0,0,0,"Not difficult at all",5,6,6,5,4,"League of Legends","PC",30,"Competition",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Male",18,"Student","High School","USA","USA","Multiplayer",0,26,1,0
6809,0,0,1,0,1,0,0,"Not difficult at all",6,5,5,6,4,"League of Legends","PC",10,"Competition",2,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,2,"Male",20,"Student","High School","Canada","Canada","Multiplayer",2,26,5,0
6812,2,2,1,0,0,2,1,"Somewhat difficult",3,3,4,2,5,"League of Legends","PC",10,"Competition",20,2,3,1,1,3,3,4,1,4,2,4,2,0,1,3,1,2,3,"Male",18,"Student","High School","Peru","Peru","Multiplayer",8,17,37,0
6813,0,0,0,0,0,0,0,"Not difficult at all",5,6,6,5,3,"League of Legends","PC",21,"Fun",5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Male",32,"Employed","High School","USA","USA","Multiplayer",0,25,3,0
6816,0,0,1,0,0,3,0,"Somewhat difficult",2,6,6,5,6,"League of Legends","PC",48,"Competition",5,2,1,0,1,0,0,0,0,1,0,0,0,0,2,4,0,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",4,25,11,0
6817,0,0,0,0,0,1,0,"Not difficult at all",5,6,6,6,5,"League of Legends","PC",20,"Competition",3,1,2,1,2,1,1,2,2,2,0,1,0,0,1,1,1,1,3,"Male",21,"Student","High School","USA","USA","Multiplayer",1,28,19,0
6818,0,0,1,0,0,0,0,"Not difficult at all",6,6,6,4,3,"League of Legends","PC",20,"Competition",15,1,0,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,1,"Male",18,"Student","None","USA","USA","Multiplayer",1,25,10,0
6819,2,0,2,1,0,1,0,"Somewhat difficult",5,6,5,5,2,"League of Legends","PC",30,"Fun",30,0,1,0,4,2,2,1,4,1,3,4,2,0,2,2,0,2,1,"Male",20,"Student","High School","USA","USA","Multiplayer",6,23,30,0
6820,1,0,1,1,0,0,0,"Somewhat difficult",4,4,5,5,3,"League of Legends","PC",14,"Fun",14,0,0,1,1,1,0,1,2,0,0,0,0,1,1,0,0,1,2,"Male",20,"Student","High School","UK","UK","Multiplayer",3,21,9,0
6821,3,3,3,3,3,3,3,"Somewhat difficult",2,2,3,5,6,"Other","Console",20,"Fun",30,2,1,3,1,1,3,3,4,4,2,3,2,4,3,0,2,4,1,"Male",28,"Employed","High School","UK","UK","Multiplayer",21,18,42,1
6822,3,1,1,0,1,0,0,"Not difficult at all",3,6,5,2,5,"League of Legends","PC",10,"Competition",10,2,4,3,2,1,1,0,4,2,1,4,1,0,2,3,0,3,3,"Male",21,"Student","High School","Argentina","Argentina","Multiplayer",6,21,33,0
6823,0,0,0,0,1,2,0,"Somewhat difficult",1,2,2,1,1,"League of Legends","PC",15,"Competition",15,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,3,"Male",18,"Student","None","Germany","Germany","Multiplayer",3,7,8,0
6824,0,1,1,1,1,1,1,"Not difficult at all",2,6,6,3,3,"League of Legends","PC",40,"Competition",20,1,0,0,1,1,1,1,0,2,1,3,1,0,1,2,1,1,2,"Male",18,"Student","High School","Portugal","Portugal","Multiplayer",6,20,17,0
6825,0,0,0,0,1,0,0,"Not difficult at all",6,4,4,4,3,"League of Legends","PC",15,"Fun",2,1,2,0,2,0,1,0,2,1,0,3,0,0,1,1,1,1,2,"Male",20,"Student","None","Sweden","Sweden","Multiplayer",1,21,16,0
6826,1,1,1,0,2,0,0,"Somewhat difficult",5,6,5,3,4,"Starcraft 2","PC",4,"Fun",3,0,2,1,2,4,4,3,2,4,1,3,2,3,3,4,1,2,2,"Male",18,"Student","High School","Hungary","Hungary","Multiplayer",5,23,41,0
6827,0,0,0,0,0,0,0,"Not difficult at all",2,4,3,4,2,"Diablo 3","PC",20,"Fun",0,1,3,0,3,1,2,0,0,2,2,3,0,0,2,2,0,0,4,"Female",21,"Unemployed","High School","Germany","Germany","Multiplayer",0,15,21,0
6828,3,3,3,3,3,1,2,"Somewhat difficult",5,4,5,1,1,"League of Legends","PC",20,"Competition",10,2,0,0,0,4,0,0,4,0,0,3,4,0,2,1,2,4,1,"Male",20,"Student","High School","USA","USA","Multiplayer",18,16,26,1
6830,1,0,0,0,2,0,0,"Not difficult at all",3,3,4,5,4,"League of Legends","PC",8,"Fun",10,0,2,0,2,1,3,1,1,3,1,4,2,1,1,2,0,0,1,"Male",21,"Student","High School","Germany","Germany","Multiplayer",3,19,24,0
6831,1,1,1,0,2,0,0,"Somewhat difficult",5,6,5,3,4,"Starcraft 2","PC",4,"Fun",3,0,2,1,2,4,4,3,2,4,1,3,2,3,3,4,1,2,2,"Male",18,"Student","High School","Hungary","Hungary","Multiplayer",5,23,41,0
6832,0,0,1,1,0,0,0,"Not difficult at all",3,6,5,2,2,"League of Legends","PC",16,"Fun",16,1,1,0,1,1,0,1,0,1,0,3,2,0,0,3,1,0,1,"Male",27,"Student","High School","Austria","Austria","Multiplayer",2,18,15,0
6833,0,0,0,0,0,1,0,"Not difficult at all",4,5,5,4,4,"League of Legends","PC",28,"Competition",0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,"Male",19,"Student","High School","South Korea","South Korea","Multiplayer",1,22,5,0
6834,0,0,0,1,0,1,0,"Somewhat difficult",2,6,3,2,1,"League of Legends","PC",25,"Competition",15,0,2,0,1,1,2,2,0,0,2,3,0,0,0,0,0,1,4,"Male",18,"Student","High School","Canada","Canada","Multiplayer",2,14,14,0
6835,0,0,0,1,1,0,0,"Not difficult at all",3,2,1,2,1,"League of Legends","PC",20,"Competition",10,0,1,1,4,2,3,3,3,4,2,4,3,0,3,3,1,3,1,"Male",18,"Student","None","USA","USA","Multiplayer",2,9,40,0
6836,0,0,0,0,0,0,0,"Not difficult at all",4,6,4,2,2,"League of Legends","PC",10,"Fun",15,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"Male",24,"Employed","Bachelors","USA","USA","Multiplayer",0,18,4,0
6837,0,0,0,0,0,1,0,"Very difficult",3,4,5,3,1,"League of Legends","PC",20,"Competition",10,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,2,"Male",25,"Student","High School","USA","USA","Multiplayer",1,16,6,0
6838,0,0,1,0,0,2,0,"Somewhat difficult",5,6,6,5,3,"League of Legends","PC",15,"Competition",5,0,1,1,1,1,1,0,0,2,2,4,1,0,1,2,0,1,3,"Male",26,"Employed","Bachelors","USA","USA","Multiplayer",3,25,18,0
6839,1,0,0,0,0,0,0,"Not difficult at all",5,4,4,3,1,"League of Legends","PC",35,"Fun",8,2,3,3,4,0,4,2,3,3,1,4,0,1,0,2,1,2,4,"Male",18,"Student","High School","Hong Kong","USA","Multiplayer",1,17,35,0
6840,0,0,0,0,0,0,0,"Not difficult at all",5,6,4,3,1,"League of Legends","PC",12,"Competition",8,1,0,3,2,1,1,0,0,1,2,1,0,0,2,3,1,0,1,"Male",18,"Student","High School","Unknown","USA","Multiplayer",0,19,18,0
6841,1,1,1,0,0,1,0,"Somewhat difficult",2,6,3,2,3,"League of Legends","PC",15,"Competition",8,1,0,1,2,1,1,3,0,2,1,2,0,0,1,2,0,0,2,"Male",24,"Student","High School","Belgium","Belgium","Multiplayer",4,16,17,0
6842,1,0,0,0,0,2,0,"Not difficult at all",1,4,4,1,1,"League of Legends","PC",40,"Competition",18,0,1,0,0,0,0,1,2,0,0,0,1,2,1,0,0,0,2,"Male",18,"Employed","High School","Germany","Germany","Multiplayer",3,11,8,0
6844,0,0,2,2,1,2,0,"Not difficult at all",4,5,4,3,2,"League of Legends","PC",28,"Fun",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,"Male",18,"Student","None","UK","UK","Multiplayer",7,18,3,0
6845,1,0,2,0,2,1,0,"Somewhat difficult",5,6,6,2,1,"League of Legends","PC",8,"Fun",0,1,0,3,1,0,1,0,4,2,0,4,2,0,0,0,0,0,1,"Male",19,"Employed","Bachelors","UK","UK","Singleplayer",6,20,18,0
